Activity Year,Action Code,Outcome,Count,Percent
2022,1,Loan originated,341743,54.72
2022,2,Application approved but not accepted,15714,2.52
2022,3,Application denied,95739,15.33
2022,4,Application withdrawn by applicant,82989,13.29
2022,5,File closed for incompleteness,36254,5.8
2022,6,Purchased loan,50724,8.12
2022,7,Preapproval request denied,387,0.06
2022,8,Preapproval request approved but not accepted,985,0.16
