rank,lei,institution_name,city,state,total_loans,white_rate,black_rate,asian_rate,native_rate,black_gap,asian_gap,native_gap,fairness_score,white_count,black_count,asian_count,native_count
134,549300BRJZYHYKT4BJ84,HOME POINT FINANCIAL CORPORATION,EWING,US-NJ,6425,0.9219,0.8238,0.938,0.8696,0.098,-0.0161,0.0523,0.098,5146.0,579.0,677.0,23.0
135,549300TINI6CL78UD591,Bloom Retirement Holdings Inc.,Sacramento,US-CA,1685,0.8363,0.7374,0.8571,0.7143,0.0989,-0.0208,0.122,0.0989,1393.0,278.0,7.0,7.0
136,549300UG7QXKM7KGV847,ROYAL UNITED MORTGAGE LLC,Indianapolis,US-IN,2693,0.741,0.6418,0.5455,0.6,0.0992,0.1956,0.141,0.0992,2224.0,416.0,33.0,20.0
137,5493000IIYWBLONJVJ30,ROUNDPOINT MORTGAGE SERVICING LLC,WILMINGTON,US-DE,847,0.9009,0.8,0.8108,1.0,0.1009,0.0901,-0.0991,0.1009,676.0,130.0,37.0,4.0
138,549300L1DBFIJZI8LA40,"ACOPIA, LLC",NASHVILLE,US-TN,1757,0.9785,0.8763,1.0,1.0,0.1021,-0.0215,-0.0215,0.1021,1532.0,186.0,37.0,2.0
139,213800XR2TCBQJSF1X93,NBKC BANK,LEAWOOD,US-KS,2445,0.9366,0.8341,0.8675,1.0,0.1024,0.0691,-0.0634,0.1024,2003.0,205.0,234.0,3.0
140,5493003KZFGGEWCRH554,Ditech Financial LLC,Tampa,US-FL,946,0.557,0.4534,0.4118,0.1111,0.1036,0.1453,0.4459,0.1036,684.0,236.0,17.0,9.0
141,549300PIL8LFAQ04XC20,"SPRING EQ, LLC",WILMINGTON,US-DE,7876,0.3764,0.2727,0.3794,0.1957,0.1037,-0.003,0.1807,0.1037,6387.0,1045.0,398.0,46.0
142,549300VCMRO4ST680C11,VILLAGE CAPITAL & INVESTMENT LLC,Wilmington,US-DE,3740,0.8609,0.7565,0.9062,0.6944,0.1044,-0.0454,0.1665,0.1044,2358.0,1314.0,32.0,36.0
143,549300XY701IELCE5Q08,BETTER MORTGAGE CORPORATION,GLENDALE,US-CA,12284,0.9152,0.8079,0.9387,0.6667,0.1073,-0.0234,0.2486,0.1073,9401.0,708.0,2136.0,39.0
144,2549006CSAAG67CX8Z55,Summit Credit Union,Greensboro,US-NC,1648,0.9614,0.8534,0.7778,1.0,0.108,0.1836,-0.0386,0.108,1062.0,566.0,18.0,2.0
145,549300H3IZO24NSOO931,"LENNAR MORTGAGE, LLC",NORTH PALM BEACH,US-FL,11298,0.9436,0.8345,0.9237,0.8864,0.1091,0.0198,0.0572,0.1091,5138.0,1462.0,4654.0,44.0
146,549300XQVJ1XBNFA5536,21ST MORTGAGE CORPORATION,WILMINGTON,US-DE,17965,0.2726,0.1618,0.2042,0.2439,0.1107,0.0683,0.0286,0.1107,9444.0,6977.0,142.0,1402.0
147,549300C04W4R4VGWRT26,DUKE UNIVERSITY FEDERAL CREDIT UNION,DURHAM,US-NC,491,0.9728,0.8601,1.0,0.5,0.1127,-0.0272,0.4728,0.1127,331.0,143.0,15.0,2.0
148,549300VORTI31GZTJL53,"CARDINAL FINANCIAL COMPANY, LIMITED PARTNERSHIP",Harrisburg,US-PA,18652,0.6802,0.567,0.5989,0.6404,0.1132,0.0813,0.0398,0.1132,14999.0,2113.0,1426.0,114.0
149,549300REENMLD2RN3W58,"Magnolia Bank, Incorporated",Elizabethtown,US-KY,2161,0.8796,0.7616,0.8333,0.75,0.118,0.0463,0.1296,0.118,1761.0,344.0,48.0,8.0
150,5493000BR75YQF0VQC27,HOMESTAR FINANCIAL CORPORATION,PEACHTREE CORNERS,US-GA,4797,0.9223,0.8042,0.8372,0.875,0.1181,0.0851,0.0473,0.1181,4301.0,429.0,43.0,24.0
151,C5654JQHZUHN0772B561,USAA Federal Savings Bank,Phoenix,US-AZ,12112,0.8052,0.6858,0.7692,0.6491,0.1194,0.036,0.1561,0.1194,9724.0,2040.0,234.0,114.0
152,549300IX6RAX31C1BI75,"Park Lane Finance Solutions, LLC",ROANOKE,US-VA,537,0.6092,0.4897,0.6667,0.5283,0.1195,-0.0574,0.0809,0.1195,238.0,243.0,3.0,53.0
153,549300TKFZR4QBNE5D40,"1ST SIGNATURE LENDING, LLC",Indianapolis,US-IN,1029,0.8813,0.7617,0.9655,0.6667,0.1196,-0.0842,0.2147,0.1196,750.0,235.0,29.0,15.0
154,54930043BMDE130FJ617,"PROVIDENT FUNDING ASSOCIATES, L.P.",SACRAMENTO,US-CA,6118,0.9035,0.7778,0.936,0.6667,0.1258,-0.0324,0.2369,0.1258,3649.0,108.0,2358.0,3.0
155,549300OPCWU6E72WUT29,"MUTUAL OF OMAHA MORTGAGE, INC.",CAMDEN,US-DE,5370,0.7467,0.6196,0.8041,0.7,0.127,-0.0574,0.0467,0.127,4362.0,794.0,194.0,20.0
156,WKN6AF1FCL7BBYGTGI83,First Savings Bank,Jeffersonville,US-IN,763,0.8577,0.7304,0.9424,0.6667,0.1273,-0.0847,0.191,0.1273,506.0,115.0,139.0,3.0
157,SS1TRMSN6BRNMOREEV51,"Flagstar Bank, National Association",Hicksville,US-NY,7965,0.8264,0.6978,0.8148,0.6857,0.1286,0.0116,0.1407,0.1286,6377.0,781.0,772.0,35.0
158,5493001SXWZ4OFP8Z903,"DHI MORTGAGE COMPANY, LTD.",DALLAS,US-TX,17316,0.9061,0.7773,0.901,0.8286,0.1288,0.0052,0.0775,0.1288,10417.0,4436.0,2393.0,70.0
159,549300FNXYY540N23N64,NEWREZ LLC,WILMINGTON,US-DE,15583,0.7138,0.5778,0.705,0.4158,0.136,0.0089,0.298,0.136,11209.0,3768.0,505.0,101.0
160,549300K6K2IS7FRS7S09,"North American Savings Bank, F.S.B.",Grandview,US-MO,1960,0.7967,0.657,0.6109,0.6923,0.1397,0.1858,0.1043,0.1397,1554.0,172.0,221.0,13.0
161,549300249G20MDIDRR27,"SOUTHWEST STAGE FUNDING, LLC",PHOENIX,US-AZ,1140,0.7514,0.6108,0.3333,0.7753,0.1406,0.418,-0.0239,0.1406,732.0,316.0,3.0,89.0
162,5493000NYUJT9UC6G261,LEADERONE FINANCIAL CORPORATION,TOPEKA,US-KS,318,0.7606,0.6186,0.875,0.5,0.142,-0.1144,0.2606,0.142,188.0,118.0,8.0,4.0
163,549300SJTLYB6ZWKPR88,CIVIC FEDERAL CREDIT UNION,Raleigh,US-NC,28728,0.8127,0.6688,0.755,0.5991,0.1439,0.0577,0.2136,0.1439,22771.0,5525.0,200.0,232.0
164,254900HA4DQWAE0W3342,"AMERIHOME MORTGAGE COMPANY, LLC",WILMINGTON,US-DE,2133,0.9095,0.7653,0.7857,0.8462,0.1441,0.1237,0.0633,0.1441,1756.0,294.0,70.0,13.0
165,549300Q3ROEQU3D1IW91,CREDIT HUMAN FEDERAL CREDIT UNION,San Antonio,US-TX,900,0.2162,0.0719,0.1818,0.1,0.1443,0.0344,0.1162,0.1443,740.0,139.0,11.0,10.0
166,213800QUAI2VH5YM6310,"EMBRACE HOME LOANS, INC.",MIDDLETOWN,US-RI,1615,0.5839,0.4371,0.5806,0.0,0.1468,0.0032,0.5839,0.1468,1264.0,318.0,31.0,2.0
167,COOWI3L2W9TPYR3WJX37,First Horizon Bank,Memphis,US-TN,7887,0.7108,0.564,0.6941,0.3514,0.1468,0.0167,0.3594,0.1468,6867.0,594.0,389.0,37.0
168,549300SUCQ1358EGVE89,"NEW DAY FINANCIAL, LLC",DOVER,US-DE,10635,0.4244,0.2759,0.3871,0.2694,0.1485,0.0373,0.155,0.1485,7038.0,3342.0,62.0,193.0
169,549300KBWX4NV5Q1E376,"NVR Mortgage Finance, Inc.",RICHMOND,US-VA,8753,0.9081,0.7589,0.8987,0.8182,0.1492,0.0094,0.0899,0.1492,4557.0,2584.0,1579.0,33.0
170,549300NFPC3Y4W3Y7R87,CALCON MUTUAL MORTGAGE LLC,CAMDEN,US-DE,2138,0.7613,0.6119,0.6727,0.8,0.1494,0.0885,-0.0387,0.1494,1177.0,791.0,165.0,5.0
171,5493000YNV8IX4VD3X12,"VANDERBILT MORTGAGE AND FINANCE, INC.",KNOXVILLE,US-TN,42744,0.2905,0.1397,0.5693,0.2013,0.1508,-0.2788,0.0893,0.1508,26073.0,14612.0,469.0,1590.0
172,E57ODZWZ7FF32TWEFA76,"Citibank, National Association",Sioux Falls,US-SD,1205,0.741,0.589,0.7925,0.25,0.152,-0.0514,0.491,0.152,892.0,146.0,159.0,8.0
173,549300SHE1JTCOWBP090,STATE EMPLOYEES',Raleigh,US-NC,235753,0.8526,0.6982,0.789,0.6334,0.1544,0.0635,0.2192,0.1544,173053.0,57936.0,2773.0,1991.0
174,549300VXXDSMSH313G18,Truliant Federal Credit Union,WINSTON SALEM,US-NC,34027,0.7038,0.5493,0.5679,0.4271,0.1545,0.1359,0.2767,0.1545,26083.0,6942.0,810.0,192.0
175,549300SK2GVCQXPD4S58,"SUN WEST MORTGAGE COMPANY, INC.",SACRAMENTO,US-CA,2281,0.917,0.762,0.96,0.6667,0.155,-0.043,0.2503,0.155,1711.0,458.0,100.0,12.0
176,L9VVX1KT5TFTKS0MLF66,First-Citizens Bank & Trust Company,Raleigh,US-NC,58741,0.797,0.6402,0.7213,0.6146,0.1568,0.0757,0.1823,0.1568,52674.0,3819.0,1934.0,314.0
177,549300GQDT484LGI9C04,NETWORK CAPITAL FUNDING CORPORATION,CARSON CITY,US-NV,1031,0.2816,0.1155,0.4444,0.25,0.1661,-0.1628,0.0316,0.1661,767.0,251.0,9.0,4.0
178,549300FX7K8PTEQUU487,PENTAGON FEDERAL CREDIT UNION,McLean,US-VA,4951,0.7427,0.5737,0.5646,0.6222,0.169,0.1781,0.1205,0.169,3475.0,990.0,441.0,45.0
179,549300OSZK2W0WJYS771,Northwest Federal Credit Union,Herndon,US-VA,797,0.8444,0.6718,0.7556,0.75,0.1726,0.0889,0.0944,0.1726,572.0,131.0,90.0,4.0
180,549300TQWW6MLVH6KY61,ALLEGACY FEDERAL CREDIT UNION,Winston-Salem,US-NC,12677,0.8534,0.6786,0.7449,0.6,0.1748,0.1085,0.2534,0.1748,11096.0,1313.0,243.0,25.0
181,549300SXISSKGPHW5702,SOFI LENDING CORP.,SACRAMENTO,US-CA,1442,0.5932,0.4154,0.46,0.4,0.1778,0.1332,0.1932,0.1778,1207.0,130.0,100.0,5.0
182,549300YIQ7S7Z8PIHE53,AMERISAVE MORTGAGE CORPORATION,Peachtree Corner,US-GA,12358,0.6622,0.4833,0.6209,0.4653,0.1789,0.0413,0.1969,0.1789,9574.0,1889.0,794.0,101.0
183,549300WMQ4WI6QXK7803,SKYLA FEDERAL CREDIT UNION,Charlotte,US-NC,2471,0.8366,0.6566,0.7206,0.5,0.18,0.116,0.3366,0.18,1597.0,792.0,68.0,14.0
184,B4TYDEB6GKMZO031MB27,"Bank of America, National Association",Charlotte,US-NC,61097,0.6551,0.4743,0.5983,0.3646,0.1808,0.0567,0.2904,0.1808,47506.0,8444.0,4785.0,362.0
185,549300MRP46SVQMWOE81,COASTAL Federal Credit Union,Raleigh,US-NC,30397,0.7947,0.6113,0.7192,0.6036,0.1833,0.0755,0.1911,0.1833,24396.0,4055.0,1777.0,169.0
186,549300T94GSH3C4U5M59,ALLIANT CREDIT UNION,Chicago,US-IL,1009,0.5245,0.3398,0.5238,0.5,0.1847,0.0007,0.0245,0.1847,837.0,103.0,63.0,6.0
187,25490012KFFZI81TDT02,The Fidelity Bank,Fuquay Varina,US-NC,8059,0.8838,0.6985,0.8,0.7619,0.1853,0.0838,0.1219,0.1853,7513.0,325.0,200.0,21.0
188,549300CHR7TPQ6LLXG47,LANGLEY FEDERAL CREDIT UNION,Newport News,US-VA,618,0.7636,0.5775,0.8333,0.3333,0.1862,-0.0697,0.4303,0.1862,440.0,142.0,30.0,6.0
189,5493000XJFWT2H46HI07,Southern Bank and Trust Company,Mount Olive,US-NC,9964,0.9121,0.7206,0.9416,0.7143,0.1916,-0.0295,0.1978,0.1916,9298.0,501.0,137.0,28.0
190,549300DNWSJUNAWUM003,"CREDIT UNION MORTGAGE ASSOCIATION, INC.",WILMINGTON,US-DE,978,0.9153,0.7209,0.9189,0.8333,0.1943,-0.0036,0.0819,0.1943,720.0,215.0,37.0,6.0
191,213800KVD76WKI6PN868,"CAPITAL CENTER, L.L.C.",GLEN ALLEN,US-VA,3728,0.7883,0.593,0.8308,0.7059,0.1953,-0.0425,0.0824,0.1953,3344.0,172.0,195.0,17.0
192,03D0JEWFDFUS0SEEKG89,"TD Bank, National Association",Wilmington,US-DE,4993,0.7801,0.5836,0.7548,0.3846,0.1965,0.0253,0.3955,0.1965,4361.0,305.0,314.0,13.0
193,6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,Cincinnati,US-OH,12811,0.6879,0.4884,0.6637,0.3649,0.1994,0.0242,0.323,0.1994,10534.0,1427.0,776.0,74.0
194,KB1H1DSPRFMYMCUFXT09,"Wells Fargo Bank, National Association",Sioux Falls,US-SD,77187,0.7578,0.5577,0.722,0.5265,0.2001,0.0358,0.2313,0.2001,61711.0,10230.0,4680.0,566.0
195,8I3UVGYULPJQIP7FQV10,"SouthState Bank, National Association",Winter Haven,US-FL,6226,0.8484,0.6458,0.8113,0.4286,0.2026,0.0371,0.4199,0.2026,5641.0,384.0,159.0,42.0
196,549300GSCUJKJINRJ980,"RUOFF MORTGAGE COMPANY, INC.",Indianapolis,US-IN,799,0.8006,0.5963,0.7778,0.8,0.2043,0.0228,0.0006,0.2043,667.0,109.0,18.0,5.0
197,JJKC32MCHWDI71265Z06,Truist Bank,Charlotte,US-NC,97714,0.7286,0.5233,0.6578,0.4769,0.2053,0.0708,0.2517,0.2053,84687.0,8821.0,3816.0,390.0
198,549300SI3EZ7U02L5E39,PROPONENT Federal Credit Union,Nutley,US-NJ,711,0.8184,0.6084,0.8462,0.8,0.2099,-0.0278,0.0184,0.2099,501.0,166.0,39.0,5.0
199,549300COIWXM618UBE82,HomeTrust Bank,Asheville,US-NC,9755,0.7771,0.563,0.6398,0.5,0.2141,0.1373,0.2771,0.2141,9201.0,357.0,161.0,36.0
200,5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,Vienna,US-VA,37247,0.7486,0.5282,0.7211,0.6071,0.2204,0.0275,0.1416,0.2204,26097.0,9736.0,961.0,453.0
201,QFROUN1UWUYU0DVIWD51,"Fifth Third Bank, National Association",Cincinnati,US-OH,17846,0.7297,0.5065,0.6316,0.4731,0.2233,0.0981,0.2566,0.2233,15126.0,1704.0,923.0,93.0
202,DRMSV1Q0EKMEXLAU1P80,"Citizens Bank, National Association",Providence,US-RI,9554,0.8393,0.6144,0.7732,0.56,0.225,0.0661,0.2793,0.225,8621.0,542.0,366.0,25.0
203,7E1PDLW1JL6TS0BS1G03,"SUNTRUST BANKS, INC.",NORCROSS,US-GA,8134,0.6318,0.4053,0.6294,0.4615,0.2265,0.0024,0.1703,0.2265,6662.0,950.0,483.0,39.0
204,5493009XSE00M8B9R434,"COUNTRYPLACE MORTGAGE, LTD.",AUSTIN,US-TX,732,0.2915,0.0649,0.0,0.1121,0.2266,0.2915,0.1793,0.2266,470.0,154.0,1.0,107.0
205,549300WK15ESCDNJ5M35,CORNING FEDERAL CREDIT UNION,CORNING,US-NY,5845,0.8444,0.6166,0.7889,0.75,0.2278,0.0555,0.0944,0.2278,5482.0,253.0,90.0,20.0
206,549300KRHOMDHAKS8L29,SHARONVIEW FEDERAL CREDIT UNION,Fort Mill,US-SC,4805,0.7498,0.5196,0.6136,0.5517,0.2302,0.1362,0.1981,0.2302,3945.0,714.0,88.0,58.0
207,5Z1UQ1CWY0DQ3KJWDQ07,"EverBank, National Association",Jacksonville,US-FL,1243,0.8657,0.633,0.8767,0.5,0.2326,-0.0111,0.3657,0.2326,1057.0,109.0,73.0,4.0
208,N8T7HW55LK5D2ORCKP39,First National Bank of Pennsylvania,Greenville,US-PA,24789,0.7695,0.5349,0.7162,0.6667,0.2346,0.0532,0.1028,0.2346,22589.0,1133.0,1022.0,45.0
209,549300C04BJ0G297NC13,Ally Bank,SANDY,US-UT,2131,0.8734,0.631,0.8905,0.8889,0.2425,-0.0171,-0.0155,0.2425,1817.0,168.0,137.0,9.0
210,5493000V86JDJLM0OV13,"CSL Financial, LLC",MONTGOMERY,US-AL,466,0.4342,0.1852,0.0,0.3067,0.249,0.4342,0.1275,0.249,281.0,108.0,2.0,75.0
211,5493001AGQGPJ3N3YL33,FOUNDERS FEDERAL CREDIT UNION,Lancaster,US-SC,3786,0.745,0.4943,0.4872,0.5714,0.2507,0.2578,0.1736,0.2507,3067.0,613.0,78.0,28.0
212,549300MKOZ81ZWTNKB12,United Bank,Fairfax,US-VA,2159,0.732,0.4737,0.7045,0.5789,0.2583,0.0275,0.153,0.2583,1944.0,152.0,44.0,19.0
213,AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",Wilmington,US-DE,27076,0.7428,0.4836,0.6707,0.4922,0.2592,0.0722,0.2506,0.2592,22843.0,2953.0,1087.0,193.0
214,5493008CPTDVOS570626,Third Federal Savings And Loan Association Of Cleveland,Cleveland,US-OH,6103,0.6973,0.4286,0.6348,0.4,0.2687,0.0625,0.2973,0.2687,4886.0,273.0,909.0,35.0
215,5493004RLLKTQS8K7U51,American Airlines Federal Credit Union,Fort Worth,US-TX,844,0.7746,0.492,0.6364,0.6667,0.2826,0.1382,0.1079,0.2826,621.0,187.0,33.0,3.0
216,549300ALNLUNS3Y53T24,AMERICAN FINANCING CORPORATION,Aurora,US-CO,3473,0.5538,0.2596,0.3529,0.2647,0.2942,0.2009,0.2891,0.2942,3120.0,285.0,34.0,34.0
217,549300K7EA6G6K9GYL80,South State Bank,Columbia,US-SC,2064,0.8309,0.534,0.8293,0.4375,0.2969,0.0016,0.3934,0.2969,1904.0,103.0,41.0,16.0
218,EQTWLK1G7ODGC2MGLV11,Regions Bank,Birmingham,US-AL,6239,0.7802,0.4776,0.7662,0.3548,0.3026,0.014,0.4254,0.3026,5183.0,670.0,355.0,31.0
219,549300PKEQ3Q9S0IXW76,UNITED FEDERAL CREDIT UNION,Saint Joseph,US-MI,3717,0.8277,0.5085,0.7234,0.6364,0.3193,0.1043,0.1914,0.3193,3541.0,118.0,47.0,11.0
220,549300NOCASXPA34X033,"LAKEVIEW LOAN SERVICING, LLC",WILMINGTON,US-DE,11105,0.5605,0.0572,0.572,0.3617,0.5033,-0.0115,0.1988,0.5033,9440.0,1347.0,271.0,47.0
